virus_name	Accession_ID	Date	Originating_lab	Submitting_lab	Location
hCoV-19/USA/CA-ALSR-1889/2020	EPI_ISL_512220	2020-05-20	Andersen lab at Scripps Research	Gangavarapu	USA
hCoV-19/Canada/MB-NML-412/2020	EPI_ISL_582249	2020-04-07	National Microbiology Laboratory (NML)	Majer	Canada
hCoV-19/Belgium/FR-03029/2020	EPI_ISL_417428	2020-03-02	KU Leuven	Maes	Belgium
hCoV-19/England/QEUH-95E83F/2020	EPI_ISL_532471	2020-08-09	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Switzerland/ZH-ETHZ-220016/2020	EPI_ISL_512000	2020-07-27	Department of Biosystems Science and Engineering	Nadeau	Switzerland
hCoV-19/Australia/VIC5726/2020	EPI_ISL_518527	2020-07-19	MDU-PHL	Schultz	Australia
hCoV-19/USA/VA-DCLS-0737/2020	EPI_ISL_526858	2020-07-03	Virginia DCLS	St. Jacques	USA
hCoV-19/Russia/StPetersburg-RII15520S/2020	EPI_ISL_507268	2020-05-15	WHO National Influenza Centre Russian Federation	Komissarov	Russia
hCoV-19/Luxembourg/LNS9371718/2020	EPI_ISL_417526	2020-03-18	Laboratoire Nationale de Sant\u00e9	Wienecke-Baldacchino	Luxembourg
hCoV-19/USA/CT-UW-2671/2020	EPI_ISL_485926	2020-03-27	UW Virology Lab	Roychoudhury	USA
hCoV-19/England/ALDP-9DA14F/2020	EPI_ISL_576851	2020-09-18	COVID-19 Genomics UK (COG-UK) Consortium	Golubchik	United Kingdom
hCoV-19/USA/OR-OHSU-1041/2020	EPI_ISL_525956	2020-07-08	Oregon SARS-CoV-2 Genome Sequencing Center	O'Roak	USA
hCoV-19/USA/WA-UW-13222/2020	EPI_ISL_570960	2020-06-30	UW Virology Lab	Roychoudhury	USA
hCoV-19/Guangzhou/GZMU0013/2020	EPI_ISL_429078	2020-02-07	BGI-shenzhen & The First Affiliated Hospital of Guangzhou Medical University	Ji	China
hCoV-19/USA/WA-UW-9214/2020	EPI_ISL_570232	2020-05-14	UW Virology Lab	Roychoudhury	USA
hCoV-19/England/ALDP-4F7EE0/2020	EPI_ISL_559291	2020-06-24	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Canada/QC-LSPQ-L00235380/2020	EPI_ISL_536096	2020-03-24	Laboratoire de sant\u00e9 publique du Qu\u00e9bec	Moreira	Canada
hCoV-19/USA/MD-MDH-0118/2020	EPI_ISL_522851	2020-05-26	Maryland Department of Health	Keller	USA
hCoV-19/Canada/NS-NML-1232/2020	EPI_ISL_579627	2020-04-04	National Microbiology Laboratory (NML)	Majer	Canada
hCoV-19/Netherlands/NA_461/2020	EPI_ISL_455263	2020-04-08	Erasmus Medical Center	Oude Munnink	Netherlands
hCoV-19/USA/WA-S2080/2020	EPI_ISL_497508	2020-06-06	Seattle Flu Study	Lee	USA
hCoV-19/England/ALDP-9CD4DD/2020	EPI_ISL_566112	2020-09-16	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Netherlands/NA_10/2020	EPI_ISL_415466	2020-03-09	Erasmus Medical Center	Oude Munnink	Netherlands
hCoV-19/Turkey/KU-007/2020	EPI_ISL_495417	2020-05-04	Kafkas University	Karamese	Turkey
hCoV-19/Scotland/EDB399/2020	EPI_ISL_425998	2020-03-30	COVID-19 Genomics UK (COG-UK) Consortium	Williams	United Kingdom
hCoV-19/England/ALDP-A2E80A/2020	EPI_ISL_586720	2020-10-05	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/WI-GMF-20228/2020	EPI_ISL_547858	2020-09-14	Kabara Cancer Research Institute	Kenny	USA
hCoV-19/Wales/MILK-9A6CC3/2020	EPI_ISL_550145	2020-09-03	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Australia/VIC14063/2020	EPI_ISL_563952	2020-08-21	MDU-PHL	Schultz	Australia
hCoV-19/England/ALDP-A2F98E/2020	EPI_ISL_587050	2020-10-05	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Australia/VIC10680/2020	EPI_ISL_563029	2020-08-01	MDU-PHL	Schultz	Australia
hCoV-19/USA/WA-UW-4105/2020	EPI_ISL_427240	2020-03-31	UW Virology Lab	Roychoudhury	USA
hCoV-19/Australia/VIC6341/2020	EPI_ISL_518323	2020-07-22	MDU-PHL	Schultz	Australia
hCoV-19/Australia/VIC2308/2020	EPI_ISL_522029	2020-06-23	MDU-PHL	Schultz	Australia
hCoV-19/Scotland/CVR3499/2020	EPI_ISL_456884	2020-05-10	COVID-19 Genomics UK (COG-UK) Consortium	Robertson	United Kingdom
hCoV-19/Kazakhstan/26580/2020	EPI_ISL_454604	2020-04-26	Laboratory of molecular-genetic research	Abdaliyev	Kazakhstan
hCoV-19/England/ALDP-9CAE1E/2020	EPI_ISL_575576	2020-09-16	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/France/PAC-IHU-0781/2020	EPI_ISL_568958	2020-04-27	MEPHI	Levasseur	France
hCoV-19/Kazakhstan/26501/2020	EPI_ISL_454510	2020-04-26	RSE \National Center for Biotechnology\	Kalendar	Kazakhstan
hCoV-19/USA/CA-QDX-40/2020	EPI_ISL_467831	2020-03-16	Quest Diagnostics	Kagan	USA
hCoV-19/USA/WA-UW-7166/2020	EPI_ISL_486108	2020-04-13	UW Virology Lab	Roychoudhury	USA
hCoV-19/Canada/QC-LSPQ-L00237365/2020	EPI_ISL_536176	2020-03-25	Laboratoire de sant\u00e9 publique du Qu\u00e9bec	Moreira	Canada
hCoV-19/USA/UT-QDX-119/2020	EPI_ISL_467910	2020-03-13	Quest Diagnostics	Kagan	USA
hCoV-19/England/MILK-975B1B/2020	EPI_ISL_552501	2020-08-20	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Portugal/PT1212/2020	EPI_ISL_511755	2020-03-26	Instituto Nacional de Saude (INSA) and Instituto Gulbenkian de Ciencia (IGC)	Borges	Portugal
hCoV-19/India/TG-CCMB-J132/2020	EPI_ISL_447850	2020-04-01	CSIR-Centre for Cellular and Molecular Biology	Banu	India
hCoV-19/USA/WA-S2740/2020	EPI_ISL_525730	2020-07-16	Seattle Flu Study	Lee	USA
hCoV-19/England/ALDP-9CB5DC/2020	EPI_ISL_575676	2020-09-16	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/VA-DCLS-1037/2020	EPI_ISL_526921	2020-06-03	Virginia DCLS	St. Jacques	USA
hCoV-19/England/QEUH-9DCFE9/2020	EPI_ISL_581048	2020-09-21	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/MILK-9A9FD6/2020	EPI_ISL_550917	2020-09-01	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/MI-MDHHS-SC21153/2020	EPI_ISL_507929	2020-03-30	Michigan Department of Health and Human Services	Blankenship	USA
hCoV-19/Malaysia/9857/2020	EPI_ISL_501227	2020-03-21	Department of Medical Microbiology	Chan	Malaysia
hCoV-19/England/OXON-ACB41/2020	EPI_ISL_448510	2020-04-06	COVID-19 Genomics UK (COG-UK) Consortium	Golubchik	United Kingdom
hCoV-19/England/BRIS-18547A3/2020	EPI_ISL_495110	2020-04-27	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/ALDP-51F5CE/2020	EPI_ISL_558908	2020-06-02	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/CAMB-7C3AC/2020	EPI_ISL_434036	2020-04-14	COVID-19 Genomics UK (COG-UK) Consortium	Meredith	United Kingdom
hCoV-19/USA/WA-S1842/2020	EPI_ISL_496268	2020-05-27	Seattle Flu Study	Lee	USA
hCoV-19/Switzerland/BS-UHB-42192965/2020	EPI_ISL_528138	2020-03-16	University Hospital Basel	Roloff Handschin	Switzerland
hCoV-19/Australia/VIC5042/2020	EPI_ISL_519846	2020-07-18	MDU-PHL	Schultz	Australia
hCoV-19/Australia/NSW911/2020	EPI_ISL_544992	2020-08-31	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Gall	Australia
hCoV-19/USA/TX-HMH-6616/2020	EPI_ISL_546121	2020-06-24	Houston Methodist Hospital	Long	USA
hCoV-19/USA/CA-CDC-4712/2020	EPI_ISL_535688	2020-06-04	Pathogen Discovery	Queen	USA
hCoV-19/USA/FL-BPHL-1140/2020	EPI_ISL_526626	2020-08-17	Florida Bureau of Public Health Laboratories	Blanton	USA
hCoV-19/Peru/LIM-INS-078/2020	EPI_ISL_536478	2020-07-02	Laboratorio de Infecciones Respiratorias Agudas	Lopez	Peru
hCoV-19/England/MILK-9C43BB/2020	EPI_ISL_566818	2020-09-09	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Australia/VIC11183/2020	EPI_ISL_563287	2020-07-29	MDU-PHL	Schultz	Australia
hCoV-19/Italy/LAZ-INMI5-N/2020	EPI_ISL_451303	2020-03-04	Laboratory of Virology	Gruber	Italy
hCoV-19/USA/MN-MDH-1809/2020	EPI_ISL_590811	2020-04-14	Minnesota Department of Health	Lorentz	USA
hCoV-19/USA/CA-SR0463/2020	EPI_ISL_467984	2020-05-19	Andersen lab at Scripps Research	Gangavarapu	USA
hCoV-19/Canada/ON-PHL-5756/2020	EPI_ISL_418358	2020-03-00	Public Health Ontario Laboratories	Eshaghi	Canada
hCoV-19/Australia/VIC6384/2020	EPI_ISL_521176	2020-07-24	MDU-PHL	Schultz	Australia
hCoV-19/Scotland/EDB036/2020	EPI_ISL_425842	2020-03-11	COVID-19 Genomics UK (COG-UK) Consortium	Williams	United Kingdom
hCoV-19/Scotland/CVR3480/2020	EPI_ISL_478072	2020-05-11	COVID-19 Genomics UK (COG-UK) Consortium	Robertson	United Kingdom
hCoV-19/India/GJ-GBRC327a/2020	EPI_ISL_512061	2020-06-25	Gujarat Biotechnology Research Centre	Joshi	India
hCoV-19/USA/VA-DCLS-1422/2020	EPI_ISL_581545	2020-07-13	Virginia DCLS	St. Jacques	USA
hCoV-19/Russia/StPetersburg-RII4697S/2020	EPI_ISL_427328	2020-04-07	WHO National Influenza Centre Russian Federation	Komissarov	Russia
hCoV-19/Australia/VIC8947/2020	EPI_ISL_565301	2020-07-28	MDU-PHL	Schultz	Australia
hCoV-19/Wales/MILK-9C1F50/2020	EPI_ISL_566650	2020-09-10	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Netherlands/Zeeland_32/2020	EPI_ISL_461271	2020-04-25	Erasmus Medical Center	Oude Munnink	Netherlands
hCoV-19/England/ALDP-9E6A81/2020	EPI_ISL_580630	2020-09-24	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Russia/StPetersburg-RII11273S/2020	EPI_ISL_507250	2020-05-02	WHO National Influenza Centre Russian Federation	Komissarov	Russia
hCoV-19/USA/LA-CDC-1932/2020	EPI_ISL_535345	2020-05-07	Pathogen Discovery	Queen	USA
hCoV-19/Scotland/EDB5389/2020	EPI_ISL_461736	2020-04-02	COVID-19 Genomics UK (COG-UK) Consortium	Williams	United Kingdom
hCoV-19/England/NORT-29AD4E/2020	EPI_ISL_492469	2020-05-25	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/PA-QDX-1061/2020	EPI_ISL_571821	2020-03-18	Quest Diagnostics	Kagan	USA
hCoV-19/Canada/MB-NML-999/2020	EPI_ISL_582368	2020-07-16	National Microbiology Laboratory (NML)	Majer	Canada
hCoV-19/Australia/VIC10135/2020	EPI_ISL_562803	2020-08-14	VIDRL and MDU-PHL	Schultz	Australia
hCoV-19/USA/NY-NYUMC552/2020	EPI_ISL_444669	2020-03-31	Departments of Pathology and Medicine	Maurano	USA
hCoV-19/Singapore/61/2020	EPI_ISL_428840	2020-04-07	National Public Health Laboratory	Mak	Singapore
hCoV-19/Hungary/MBL-469/2020	EPI_ISL_435424	2020-03-27	Bioinformatics Research Group	Herczeg	Hungary
hCoV-19/Scotland/QEUH-9BAD9C/2020	EPI_ISL_573839	2020-09-09	COVID-19 Genomics UK (COG-UK) Consortium	Golubchik	United Kingdom
hCoV-19/Wales/PHWC-16A67A/2020	EPI_ISL_560084	2020-09-09	COVID-19 Genomics UK (COG-UK) Consortium	Moore	United Kingdom
hCoV-19/England/MILK-99DA3E/2020	EPI_ISL_550727	2020-08-30	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/India/MH-NIV-174910/2020	EPI_ISL_541715	2020-08-23	National Institute of Virology	Potdar	India
hCoV-19/USA/MN-CDC-6510/2020	EPI_ISL_527715	2020-04-12	Pathogen Discovery	Queen	USA
hCoV-19/Portugal/PT1013/2020	EPI_ISL_511560	2020-03-26	Instituto Nacional de Saude (INSA)	Borges	Portugal
hCoV-19/Canada/QC-LSPQ-L00224745/2020	EPI_ISL_535821	2020-03-17	Laboratoire de sant\u00e9 publique du Qu\u00e9bec	Moreira	Canada
hCoV-19/England/MILK-9C3E9D/2020	EPI_ISL_566961	2020-09-09	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/TX-HMH-7117/2020	EPI_ISL_546518	2020-06-28	Houston Methodist Hospital	Long	USA
hCoV-19/USA/WA-S2013/2020	EPI_ISL_497441	2020-06-04	Seattle Flu Study	Lee	USA
hCoV-19/England/SHEF-C724B/2020	EPI_ISL_453722	2020-04-21	COVID-19 Genomics UK (COG-UK) Consortium	de Silva	United Kingdom
hCoV-19/Portugal/PT0701/2020	EPI_ISL_510960	2020-03-17	Instituto Nacional de Saude (INSA)	Borges	Portugal
